Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31
7,72,2,2,34,1,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,73,3,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,74,4,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,75,5,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,76,6,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,77,7,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,78,8,0,34,0,19,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,79,9,2,36,1,20,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,80,10,0,36,0,20,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
8,80,0,0,36,0,20,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
