Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
10,110,10,0,73,0,43,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_2,M_1,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,110,0,0,73,0,43,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_2,M_1,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,111,1,2,75,1,44,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_1,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,112,2,2,77,1,45,M_1,M_1,M_1,M_3,M_1,M_0,M_3,M_0,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,113,3,0,77,0,45,M_1,M_1,M_1,M_3,M_1,M_0,M_3,M_0,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,114,4,0,77,0,45,M_1,M_1,M_1,M_3,M_1,M_0,M_3,M_0,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,115,5,2,79,1,46,M_1,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,116,6,0,79,0,46,M_1,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,117,7,0,79,0,46,M_1,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
11,118,8,0,79,0,46,M_1,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
