Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
8,86,6,2,93,0,84,M_0,M_0,M_4,M_2,M_6,M_1,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,87,7,0,93,0,84,M_0,M_0,M_4,M_2,M_6,M_1,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,88,8,2,95,1,85,M_0,M_1,M_4,M_2,M_6,M_0,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,89,9,1,96,0,86,M_0,M_1,M_4,M_2,M_6,M_3,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,90,10,0,96,0,86,M_0,M_1,M_4,M_2,M_6,M_3,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,90,0,0,96,0,86,M_0,M_1,M_4,M_2,M_6,M_3,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,91,1,3,99,0,89,M_0,M_1,M_3,M_2,M_6,M_5,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,92,2,0,99,0,89,M_0,M_1,M_3,M_2,M_6,M_5,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,93,3,2,101,1,90,M_0,M_1,M_3,M_2,M_5,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,94,4,0,101,0,90,M_0,M_1,M_3,M_2,M_5,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,95,5,0,101,0,90,M_0,M_1,M_3,M_2,M_5,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,96,6,2,103,1,91,M_0,M_1,M_3,M_4,M_5,M_6,M_2,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,97,7,0,103,0,91,M_0,M_1,M_3,M_4,M_5,M_6,M_2,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,98,8,2,105,1,92,M_0,M_2,M_3,M_4,M_5,M_6,M_1,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
9,99,9,0,105,0,92,M_0,M_2,M_3,M_4,M_5,M_6,M_1,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
